日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,陽性容器戶內,陽性容器戶外,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2015/10/25,台南市,安平區,華平里,住宅,33,1,7,42,1,0,3,1,2,1,22.995,120.174
2015/10/25,台南市,安平區,平通里,住宅,75,2,31,15,0,3,4,1,7,3,22.994,120.169
2015/10/25,台南市,南　區,鯤鯓里,住宅,54,1,4,1,0,5,9,2,100,9,22.957,120.173
2015/10/25,台南市,南　區,開南里,住宅,35,1,8,2,1,0,3,1,10,4,22.967,120.186
2015/10/25,台南市,南　區,光明里,住宅,146,3,35,6,3,0,2,1,7,3,22.972,120.187
2015/10/25,台南市,南　區,再興里,住宅,27,2,4,13,1,1,7,2,12,4,22.98,120.193
2015/10/25,台南市,東　區,富強里,住宅,99,1,7,6,0,1,1,1,8,3,22.987,120.232
2015/10/25,台南市,東　區,大智里,住宅,123,1,26,33,1,0,1,1,2,1,22.962,120.233
2015/10/25,台南市,東　區,裕農里,住宅,176,1,54,20,0,1,1,1,1,1,22.989,120.229
2015/10/26,台南市,南　區,永寧里,住宅,44,1,20,38,1,0,2,1,2,1,22.929,120.18
2015/10/26,台南市,南　區,再興里,住宅,64,2,4,8,1,1,3,1,17,5,22.98,120.193
2015/10/26,台南市,東　區,大福里,住宅,34,2,10,1,2,0,6,2,18,5,22.974,120.216
2015/10/26,台南市,北　區,延平里,住宅,86,3,25,11,2,1,3,1,8,3,23.011,120.212
2015/10/26,台南市,北　區,文元里,住宅,200,1,32,8,1,0,1,1,3,1,23.015,120.198
2015/10/26,台南市,中西區,郡王里,住宅,192,1,18,27,0,1,1,1,2,1,22.987,120.207
2015/10/26,台南市,永康區,二王里,住宅,81,6,46,27,0,6,7,2,8,3,23.018,120.247
2015/10/26,台南市,永康區,六合里,住宅,69,1,10,7,1,1,3,1,12,4,23.011,120.23
2015/10/26,台南市,永康區,東橋里,住宅,110,1,22,19,1,0,1,1,2,1,23.024,120.241
2015/10/26,台南市,永康區,永康里,住宅,58,2,9,51,0,2,3,1,3,2,23.023,120.258
2015/10/26,台南市,安平區,怡平里,住宅,50,1,0,10,0,3,6,2,30,7,22.994,120.177
2015/10/26,台南市,南　區,興農里,住宅,126,2,16,46,0,2,2,1,3,2,22.93,120.192
2015/10/26,台南市,南　區,興農里,住宅,60,2,18,8,0,2,3,1,8,3,22.93,120.192
2015/10/26,台南市,北　區,大港里,住宅,205,1,45,10,0,1,0,1,2,1,23.01,120.183
2015/10/27,台南市,東　區,龍山里,住宅,39,1,1,0,1,0,3,1,100,9,22.983,120.222
2015/10/27,台南市,永康區,正強里,住宅,72,2,21,8,1,1,3,1,7,3,23.029,120.252
2015/10/27,台南市,永康區,復國里,住宅,78,2,18,19,1,2,4,1,8,3,23.006,120.247
2015/10/27,台南市,永康區,安康里,住宅,560,2,99,64,1,1,0,1,1,1,23.016,120.227
2015/10/27,台南市,東　區,崇德里,住宅,157,1,13,13,1,0,1,1,4,2,22.975,120.226
2015/10/27,台南市,東　區,成大里,住宅,192,1,38,5,1,0,1,1,2,1,22.998,120.215
2015/10/27,台南市,東　區,虎尾里,住宅,50,6,5,14,2,6,16,3,42,9,22.979,120.236
2015/10/27,台南市,中西區,西湖里,住宅,197,1,27,13,1,0,1,1,3,1,23.002,120.183
2015/10/27,台南市,中西區,西湖里,住宅,52,1,11,3,1,0,2,1,7,3,23.002,120.183
2015/10/27,台南市,南　區,松安里,住宅,50,2,2,19,0,4,8,2,19,5,22.925,120.178
2015/10/27,台南市,南　區,永寧里,住宅,96,3,17,36,0,3,3,1,6,3,22.929,120.18
2015/10/28,台南市,安平區,國平里,住宅,50,1,2,6,0,2,4,1,25,6,22.979,120.168
2015/10/28,台南市,北　區,長德里,住宅,78,1,3,2,0,1,1,1,20,5,23.003,120.206
2015/10/28,台南市,北　區,文元里,住宅,186,1,46,11,1,0,1,1,2,1,23.015,120.198
2015/10/28,台南市,南　區,建南里,住宅,110,1,19,1,0,1,1,1,5,2,22.957,120.196
2015/10/28,台南市,永康區,鹽行里,住宅,131,1,34,8,0,1,1,1,2,1,23.041,120.237
2015/10/28,台南市,永康區,勝利里,住宅,60,1,1,1,0,2,3,1,100,9,23.005,120.233
2015/10/28,台南市,永康區,大橋里,住宅,75,1,15,19,1,0,1,1,3,2,23.019,120.23
2015/10/28,台南市,永康區,大橋里,住宅,118,4,48,21,2,2,3,1,6,3,23.019,120.23
2015/10/28,台南市,永康區,三合里,住宅,208,1,89,22,1,0,0,1,1,1,23.011,120.239
2015/10/28,台南市,中西區,永福里,住宅,82,2,4,17,0,2,2,1,10,4,22.993,120.202
2015/10/28,台南市,東　區,中西里,住宅,50,2,1,25,0,2,4,1,8,3,22.991,120.22
2015/10/28,台南市,東　區,東光里,住宅,69,1,29,3,1,0,1,1,3,2,22.992,120.23
2015/10/28,台南市,東　區,東明里,住宅,213,2,38,40,2,0,1,1,3,2,22.992,120.227
2015/10/28,台南市,東　區,大學里,住宅,98,1,20,6,0,1,1,1,4,2,22.996,120.221
2015/10/28,台南市,東　區,中西里,住宅,60,1,10,5,1,0,2,1,7,3,22.991,120.22
2015/10/28,台南市,東　區,虎尾里,住宅,70,1,11,16,1,0,1,1,4,2,22.979,120.236
2015/10/28,台南市,東　區,大同里,住宅,67,1,9,2,1,0,1,1,9,3,22.984,120.213
2015/10/29,台南市,北　區,成德里,住宅,102,1,17,13,1,0,1,1,3,2,23.013,120.204
2015/10/29,台南市,安平區,建平里,住宅,50,1,2,8,0,1,2,1,10,4,22.994,120.183
2015/10/29,台南市,中西區,大涼里,學校,50,2,1,6,1,1,4,1,29,7,22.992,120.189
2015/10/29,台南市,中西區,保安里,住宅,56,1,5,1,1,0,2,1,17,5,22.992,120.197
